task_id,family,dataset,method,method_name,estimator,seed,train_size
47,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,786,0.8
48,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,786,0.8
49,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,786,0.8
50,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
51,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
52,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
53,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
54,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
55,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
56,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
57,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
58,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
59,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
60,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
61,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
62,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
63,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
64,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
65,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
66,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
67,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
68,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
69,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
70,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
71,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
72,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
73,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
74,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
75,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
76,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
77,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
78,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
79,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
80,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
81,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
82,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
83,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
84,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
85,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
86,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
87,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
88,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
89,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
90,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
91,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
92,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
93,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
94,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
95,classification,data_yeast,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
96,classification,data_yeast,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,786,0.8
97,classification,data_yeast,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,786,0.8
98,classification,data_yeast,split_conformal_aps,split_conformal_aps_MLP,MLP,786,0.8
99,classification,data_yeast,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,786,0.8
100,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
101,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
102,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
103,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
104,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
105,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
106,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
107,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
108,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
109,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
110,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
111,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
112,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
113,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
114,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
115,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
116,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
117,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
118,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
119,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
120,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
121,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
122,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
123,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
124,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
125,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
126,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
127,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
128,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
129,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
130,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
131,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
132,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
133,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
134,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
135,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
136,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
137,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
138,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
139,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
140,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
141,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
142,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
143,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
144,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
145,classification,data_chess,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
146,classification,data_chess,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,786,0.8
147,classification,data_chess,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,786,0.8
148,classification,data_chess,split_conformal_aps,split_conformal_aps_MLP,MLP,786,0.8
149,classification,data_chess,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,786,0.8
150,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
151,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
152,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
153,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
154,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
155,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
156,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
157,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
158,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
159,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
160,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
161,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
162,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
163,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
164,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
165,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
166,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
167,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
168,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
169,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
170,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
171,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
172,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
173,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
174,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
175,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
176,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
177,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
178,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
179,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
180,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
181,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
182,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
183,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
184,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
185,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
186,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
187,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
188,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
189,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
190,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
191,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
192,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
193,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
194,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
195,classification,data_cover_type,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
196,classification,data_cover_type,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,786,0.8
197,classification,data_cover_type,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,786,0.8
198,classification,data_cover_type,split_conformal_aps,split_conformal_aps_MLP,MLP,786,0.8
199,classification,data_cover_type,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,786,0.8
200,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
201,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
202,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
203,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
204,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
205,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
206,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
207,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
208,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
209,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
210,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
211,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
212,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
213,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
214,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
215,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
216,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
217,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
218,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
219,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
220,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
221,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
222,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
223,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
224,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
225,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
226,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
227,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
228,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
229,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
230,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
231,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
232,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
233,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
234,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
235,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
236,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
237,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
238,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
239,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
240,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
241,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
242,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
243,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
244,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
245,classification,data_isolet,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
246,classification,data_isolet,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,786,0.8
247,classification,data_isolet,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,786,0.8
248,classification,data_isolet,split_conformal_aps,split_conformal_aps_MLP,MLP,786,0.8
249,classification,data_isolet,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,786,0.8
250,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
251,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
252,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
253,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
254,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
255,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
256,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
257,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
258,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
259,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
260,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
261,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
262,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
263,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
264,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
265,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
266,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
267,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
268,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
269,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
270,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
271,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
272,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
273,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
274,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
275,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
276,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
277,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
278,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
279,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
280,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
281,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
282,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
283,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
284,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
285,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
286,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
287,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
288,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
289,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
290,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
291,classification,data_dionis,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
292,classification,data_dionis,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
293,classification,data_dionis,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
294,classification,data_dionis,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
295,classification,data_dionis,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
